Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Georgy Dobrovolsky, Victor Patsayev, Vladislav Volkov",USSR/Russia,Salyut 1,Successful boarding of Salyut 1 (first manned space station). All crew died on re-entry due to air leak.,Y,N,N,23.0,1971-06-06,Soyuz 11,1971-06-29,Soyuz 11,1971
"David R. Scott, Alfred M. Worden, James B. Irwin",USA,Moon,Fourth lunar landing. First Lunar Rover.,N,Y,N,12.0,1971-07-26,Apollo 15,1971-08-07,Apollo 15,1971
"John W. Young, Thomas K. Mattingly, Charles M. Duke",USA,Moon,Fifth lunar landing.,N,Y,N,11.0,1972-04-16,Apollo 16,1972-04-27,Apollo 16,1972
"Eugene A. Cernan, Ronald E. Evans, Harrison H. Schmitt",USA,Moon,Sixth and last lunar landing.,N,Y,N,12.0,1972-12-07,Apollo 17,1972-12-19,Apollo 17,1972
"Charles P. Conrad, Paul J. Weitz, Joseph P. Kerwin",USA,Skylab,First manned mission to Skylab space station. Spent almost one month in space.,N,N,N,28.0,1973-05-25,Skylab 2,1973-06-22,Skylab 2,1973
"Alan L. Bean, Jack R. Lousma, Owen K. Garriott",USA,Skylab,Spent almost two months in space. Miscellaneous scientific experiments.,N,N,N,59.0,1973-07-28,Skylab 3,1973-09-25,Skylab 3,1973
"Vasily Lazarev, Oleg Makarov",USSR/Russia,,Test flight of new Soyuz design following Soyuz 11 disaster.,N,N,N,2.0,1973-09-27,Soyuz 12,1973-09-29,Soyuz 12,1973
"Gerald P. Carr, William R. Pogue, Edward G. Gibson",USA,Skylab,Spent almost three months in space. Miscellaneous scientific experiments conducted.,N,N,N,85.0,1973-11-16,Skylab 4,1974-02-08,Skylab 4,1973
"Valentin Lebedev, Pyotr Klimuk",USSR/Russia,,"Second test of redesigned Soyuz capsule.
 Astrophysical observations.",N,N,N,8.0,1973-12-18,Soyuz 13,1973-12-26,Soyuz 13,1973
"Yury Artyukhin, Pavel Popovich",USSR/Russia,Salyut 3,Military mission. Evaluation of military applications of human spaceflight.,N,N,N,16.0,1974-07-03,Soyuz 14,1974-07-19,Soyuz 14,1974
"Lev Demin, Gennady Sarafanov",USSR/Russia,,Failed to board Salyut 3 space station.,N,N,N,2.0,1974-08-26,Soyuz 15,1974-08-28,Soyuz 15,1974
"Anatoly Filipchenko, Nikolay Rukavishnikov",USSR/Russia,,Systems testing in preparation for joint Soviet-US space flight.,N,N,N,6.0,1974-12-02,Soyuz 16,1974-12-08,Soyuz 16,1974
"Georgy Grechko, Alexey Gubarev",USSR/Russia,Salyut 4,Astronomical observations.,N,N,N,30.0,1975-01-11,Soyuz 17,1975-02-10,Soyuz 17,1975
"Vasily Lazarev, Oleg Makarov",USSR/Russia,,Failed to reach orbit due to malfunction.,N,N,Y,0.0,1975-04-05,Soyuz 18a,1975-04-05,Soyuz 18a,1975
